Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
140U-J0D3-C40,CIR BRKR 40A 3P 600V MOLDED CASE,ALLEN BRADLEY,,ROCKWELL,Rockwell Automation
QO3100,CIR BRKR 100A 3P 240V PLUG-IN 10KA,,Schneider Electric,,Schneider Electric
3SU1000-0AB10-0AA0,PUSHBUTTON 22MM ROUND PLASTIC BLACK FLUSH,SIEMENS,Siemens AG,,
BAB3030H,CIR BRKR 30A 3P 240V BOLT-ON 10KA,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
OT16F3,DISCONNECT SWITCH 3P 16A DOOR MOUNT,ABB,ABB Installation,BALDOR,ABB Inc
PX2AN1XX150PSAAX,HEAVY DUTY PRESSURE TRANSDUCER 150 PSI,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
PL-4-2,PUSH-TO-CONNECT FITTING 1/4 TUBE X 1/8 NPT MALE,PARKER,Parker Hannifin,PARKER,Parker Hannifin
25B-D010N104,POWERFLEX 525 VFD 5HP 480VAC 3PH,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
PKF16M434,PRATIKE INDUSTRIAL PLUG 16A 3P+E 400V IP44,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6GK5005-0BA00-1AB2,SCALANCE X005 UNMANAGED IE SWITCH 5 RJ45,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
FNQ-R-10,CLASS CC TIME DELAY FUSE 10A 600V,EATON,,CUTLER-HAMMER,Eaton
AF16-30-10-13,CONTACTOR 16A 100-250VAC/DC 3P 1NO,,ABB Installation,,ABB Inc
GLAC01A1B,GLOBAL LIMIT SWITCH 1NC/1NO SPDT SNAP ACTION,HONEYWELL,Honeywell Sensing,,
06L22AC,PNEUMATIC LUBRICATOR 1/4 NPT STANDARD MIST,PARKER,Parker Hannifin,PARKER,Parker Hannifin
42EF-D1MNAK-A2,PHOTOSENSOR RETRO 24VDC NPN/PNP 2M,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
XMLB010A2S12,PRESSURE SWITCH 10 BAR ADJUSTABLE SCALE,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6EP1333-2BA20,SITOP POWER SUPPLY 24VDC 5A 120/230VAC,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
